budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
63000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",http://www.iwantcandy.com/,50359,"[{""id"": 6285, ""name"": ""coup d'etat""}, {""id"": 8631, ""name"": ""slacker""}, {""id"": 9921, ""name"": ""easter""}, {""id"": 9923, ""name"": ""easter bunny""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 209220, ""name"": ""live action and animation""}]",en,Hop,"E.B., the Easter Bunny's teenage son, heads to Hollywood, determined to become a drummer in a rock 'n' roll band. In LA, he's taken in by Fred after the out-of-work slacker hits E.B. with his car.",16.791058,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Illumination Entertainment"", ""id"": 6704}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",30-03-11,183953723,95.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}, {""iso_639_1"": ""th"", ""name"": ""\u0e20\u0e32\u0e29\u0e32\u0e44\u0e17\u0e22""}]",Released,"Candy, chicks and rock 'n' roll.",Hop,5.5,331
30000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 878, ""name"": ""Science Fiction""}]",,192577,[],ja,キャプテンハーロック,Space Pirate Captain Harlock and his fearless crew face off against the space invaders who seek to conquer the planet Earth.,14.726338,"[{""name"": ""Toei Animation Company"", ""id"": 3116}]","[{""iso_3166_1"": ""JP"", ""name"": ""Japan""}]",07-09-13,17137302,115.0,"[{""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}]",Released,,Space Pirate Captain Harlock,6.5,356
2000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",,12079,"[{""id"": 10183, ""name"": ""independent film""}, {""id"": 187514, ""name"": ""speed freak""}, {""id"": 187517, ""name"": ""junky cop""}, {""id"": 187518, ""name"": ""boy toy""}, {""id"": 187522, ""name"": ""porn magazine""}, {""id"": 187523, ""name"": ""dope selling""}, {""id"": 187524, ""name"": ""crank""}, {""id"": 187525, ""name"": ""handcuffed to a bed""}, {""id"": 187527, ""name"": ""cctv""}, {""id"": 187536, ""name"": ""veterinary clinic""}, {""id"": 187537, ""name"": ""needlepoint""}, {""id"": 187544, ""name"": ""needle""}, {""id"": 187547, ""name"": ""older woman younger woman relationship""}, {""id"": 187551, ""name"": ""telephone sex""}]",en,Spun,"Over the course of three days Ross, a college dropout addicted to crystal-meth, encounters a variety of oddball folks - including a stripper named Nikki and her boyfriend, the local meth producer, The Cook - but all he really wants to do is hook up with his old girlfriend, Amy.",6.249262,"[{""name"": ""Muse Productions"", ""id"": 15231}, {""name"": ""Brink Films"", ""id"": 18811}, {""name"": ""Silver Nitrate"", ""id"": 23909}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",01-06-02,0,101.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The ultimate speed freak's tale.,Spun,6.6,132
500,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",,119657,[],en,El Rey de Najayo,"The dramatic story of Julian, a Dominican drug lord who despite his confinement in prison, was still able to maintain Dominican society in a state of suspense, for over 13 years. At the early age of 12, he witnessed the death of his father at the hands of local military authorities, during a well-meant attempt to hand-over a package of drugs he had incidentally found at sea while fishing. As a result of this experience, Julian develops a thirst for revenge that leads him to kill all those involved in his father's death. In the process he becomes a major drug lord and a very powerful headman within Dominican society.",0.080105,[],"[{""iso_3166_1"": ""DO"", ""name"": ""Dominican Republic""}]",01-03-12,0,101.0,"[{""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,,El Rey de Najayo,0.0,0
110000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.sanandreasmovie.com/,254128,"[{""id"": 387, ""name"": ""california""}, {""id"": 3521, ""name"": ""earthquake""}, {""id"": 188351, ""name"": ""catastrophe""}, {""id"": 189411, ""name"": ""disaster film""}, {""id"": 209714, ""name"": ""3d""}, {""id"": 213895, ""name"": ""san andreas""}, {""id"": 213896, ""name"": ""san andreas california""}, {""id"": 222529, ""name"": ""rescue operation""}]",en,San Andreas,"In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey across the state in order to rescue his estranged daughter.",100.412364,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Flynn Picture Company"", ""id"": 34081}]","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""AU"", ""name"": ""Australia""}]",27-05-15,470490832,114.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"A rescue pilot survived an earthquake, this is what happens next",San Andreas,6.0,2968
7000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}]",,110402,[],ru,Трудно быть богом,"A group of scientists is sent to the planet Arkanar to help the local civilization, which is in the Medieval phase of its own history, to find the right path to progress. Their task is a difficult one: they cannot interfere violently and in no case can they kill. The scientist Rumata tries to save the local intellectuals from their punishment and cannot avoid taking a position. As if the question were: what would you do in God's place? Director's statement Aleksei wanted to make this film his entire life. The road was a long one. This is not a film about cruelty, but about love. A love that was there, tangible, alive, and that resisted through the hardest of conditions.",3.120016,"[{""name"": ""Lenfilm Studio"", ""id"": 27593}, {""name"": ""Sever Studio"", ""id"": 69586}, {""name"": ""Kanal Russia 1"", ""id"": 69587}]","[{""iso_3166_1"": ""RU"", ""name"": ""Russia""}]",27-02-13,1310673,170.0,"[{""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,,Hard to Be a God,6.7,41
12000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",,17130,"[{""id"": 246, ""name"": ""dancing""}, {""id"": 515, ""name"": ""women""}, {""id"": 572, ""name"": ""sex""}, {""id"": 1005, ""name"": ""karaoke""}, {""id"": 1566, ""name"": ""dream""}, {""id"": 2032, ""name"": ""pop singer""}, {""id"": 2389, ""name"": ""virgin""}, {""id"": 2669, ""name"": ""motel""}, {""id"": 3687, ""name"": ""graduation""}, {""id"": 5091, ""name"": ""kiss""}, {""id"": 6054, ""name"": ""friendship""}, {""id"": 6270, ""name"": ""high school""}, {""id"": 7312, ""name"": ""road trip""}, {""id"": 11511, ""name"": ""unfaithful boyfriend""}, {""id"": 11612, ""name"": ""hospital""}, {""id"": 12990, ""name"": ""singing""}, {""id"": 13130, ""name"": ""teenager""}, {""id"": 14659, ""name"": ""girl""}, {""id"": 15161, ""name"": ""rebellious daughter""}, {""id"": 15291, ""name"": ""on the road""}, {""id"": 15300, ""name"": ""father daughter relationship""}, {""id"": 33455, ""name"": ""chick flick""}, {""id"": 33922, ""name"": ""pop music""}, {""id"": 33928, ""name"": ""audition""}, {""id"": 173186, ""name"": ""teenage pregnancy""}, {""id"": 181109, ""name"": ""mother daughter estrangement""}, {""id"": 184355, ""name"": ""implied rape""}, {""id"": 187056, ""name"": ""woman director""}, {""id"": 189092, ""name"": ""journey""}, {""id"": 191428, ""name"": ""song writing""}]",en,Crossroads,"Three friends get together and bury a box making a pact to open it at midnight at their high school graduation. In the little town in Georgia that they live in, things soon change. One is little miss perfect, one is an engaged prom queen, and the other is a pregnant outcast. The night of graduation, they open the box and they strike up a conversation. All of a sudden, one brings up the topic of her going to Los Angeles for a record contract audition. They all decide to go together and they leave. With a little money, they set out on the road with a guy named Ben. When one of them tells the other a rumor that he might be a homicidal maniac they are all scared of him. When they reach LA, Lucy falls in love with Ben and against her father's wishes, she stays and she goes to the audition.",6.7033190000000005,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""MTV Films"", ""id"": 746}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",15-02-02,61141030,93.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Dreams change. Friends are forever,Crossroads,4.7,158
70000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",http://wwws.warnerbros.co.uk/bodyoflies/,12113,"[{""id"": 321, ""name"": ""terror""}, {""id"": 769, ""name"": ""falsely accused""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 3737, ""name"": ""dying and death""}, {""id"": 6292, ""name"": ""jordan""}, {""id"": 9145, ""name"": ""dubai""}, {""id"": 9846, ""name"": ""intelligence agency""}, {""id"": 9849, ""name"": ""beating""}]",en,Body of Lies,"The CIA’s hunt is on for the mastermind of a wave of terrorist attacks. Roger Ferris is the agency’s man on the ground, moving from place to place, scrambling to stay ahead of ever-shifting events. An eye in the sky – a satellite link – watches Ferris.  At the other end of that real-time link is the CIA’s Ed Hoffman, strategizing events from thousands of miles away. And as Ferris nears the target, he discovers trust can be just as dangerous as it is necessary for survival.",37.507135999999996,"[{""name"": ""Scott Free Productions"", ""id"": 1645}, {""name"": ""De Line Pictures"", ""id"": 2609}, {""name"": ""Warner Bros."", ""id"": 6194}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",10-10-08,113280098,128.0,"[{""iso_639_1"": ""ar"", ""name"": ""\u0627\u0644\u0639\u0631\u0628\u064a\u0629""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Trust no one. Deceive everyone.,Body of Lies,6.5,895
19000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",http://theswitch-movie.com/,41210,"[{""id"": 567, ""name"": ""alcohol""}, {""id"": 641, ""name"": ""single parent""}, {""id"": 1009, ""name"": ""baby""}, {""id"": 1946, ""name"": ""restaurant""}, {""id"": 2269, ""name"": ""aquarium""}, {""id"": 2700, ""name"": ""sperm""}, {""id"": 9736, ""name"": ""little boy""}, {""id"": 10556, ""name"": ""male female relationship""}, {""id"": 10721, ""name"": ""pregnant""}, {""id"": 159150, ""name"": ""artificial insemination""}]",en,The Switch,"An unmarried 40-year-old woman turns to a turkey baster in order to become pregnant. Seven years later, she reunites with her best friend, who has been living with a secret: he replaced her preferred sperm sample with his own.",27.494037,"[{""name"": ""Mandate Pictures"", ""id"": 771}, {""name"": ""Bona Fide Productions"", ""id"": 2570}, {""name"": ""Echo Films"", ""id"": 7382}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",11-05-10,49830607,101.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The most unexpected comedy ever conceived.,The Switch,5.9,583
0,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",,21461,"[{""id"": 6165, ""name"": ""historical figure""}, {""id"": 10267, ""name"": ""comedy""}, {""id"": 10540, ""name"": ""bollywood""}, {""id"": 14636, ""name"": ""india""}]",en,Lage Raho Munna Bhai,"A hilarious underworld gangster known as Munna Bhai falls comically in love with a radio host by the name of Jahnvi, who runs an elders' home, which is taken over by an unscrupulous builder, who gets the residents kicked out ironically with the help of Munna's sidekick, Circuit, while Munna is busy romancing Jahnvi elsewhere.",2.436019,[],"[{""iso_3166_1"": ""IN"", ""name"": ""India""}]",01-01-06,0,144.0,"[{""iso_639_1"": ""hi"", ""name"": ""\u0939\u093f\u0928\u094d\u0926\u0940""}]",Released,They're back... and they're not alone!,Lage Raho Munna Bhai,7.6,44
