budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
60000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",,10047,"[{""id"": 222, ""name"": ""schizophrenia""}, {""id"": 254, ""name"": ""france""}, {""id"": 570, ""name"": ""rape""}, {""id"": 4063, ""name"": ""siege""}, {""id"": 5565, ""name"": ""biography""}, {""id"": 8698, ""name"": ""orl\u00e9ans""}, {""id"": 8700, ""name"": ""charles vii.""}, {""id"": 190532, ""name"": ""false history""}, {""id"": 190855, ""name"": ""joan of arc""}, {""id"": 198225, ""name"": ""religious delusions""}]",fr,Joan of Arc,In 1429 a teenage girl from a remote French village stood before her King with a message she claimed came from God; that she would defeat the world's greatest army and liberate her country from its political and religious turmoil. Following her mission to reclaim god's dimished kingdom - through her amazing victories until her violent and untimely death.,21.084542000000003,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Gaumont"", ""id"": 9}]","[{""iso_3166_1"": ""FR"", ""name"": ""France""}]",18-10-99,66976317,148.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""la"", ""name"": ""Latin""}]",Released,,The Messenger: The Story of Joan of Arc,6.2,367
150000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",http://www.thelastairbendermovie.com/,10196,"[{""id"": 657, ""name"": ""fire""}, {""id"": 1445, ""name"": ""ice""}, {""id"": 2770, ""name"": ""war ship""}, {""id"": 3071, ""name"": ""prince""}, {""id"": 4152, ""name"": ""kingdom""}, {""id"": 4237, ""name"": ""water""}, {""id"": 5331, ""name"": ""village""}, {""id"": 5638, ""name"": ""arrest""}, {""id"": 9714, ""name"": ""remake""}, {""id"": 10563, ""name"": ""attack""}, {""id"": 13002, ""name"": ""avatar""}, {""id"": 13152, ""name"": ""air""}, {""id"": 13153, ""name"": ""spirit""}, {""id"": 13154, ""name"": ""world""}, {""id"": 13155, ""name"": ""domination""}, {""id"": 13156, ""name"": ""cheering""}]",en,The Last Airbender,"The story follows the adventures of Aang, a young successor to a long line of Avatars, who must put his childhood ways aside and stop the Fire Nation from enslaving the Water, Earth and Air nations.",33.769335999999996,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Nickelodeon Movies"", ""id"": 2348}, {""name"": ""Kennedy/Marshall Company, The"", ""id"": 7383}, {""name"": ""Industrial Light & Magic (ILM)"", ""id"": 8805}, {""name"": ""Blinding Edge Pictures"", ""id"": 12236}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",30-06-10,318502923,103.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"Four nations, one destiny",The Last Airbender,4.7,1151
125000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]",http://harrypotter.warnerbros.com/harrypotterandthedeathlyhallows/mainsite/index.html,671,"[{""id"": 616, ""name"": ""witch""}, {""id"": 1441, ""name"": ""christmas party""}, {""id"": 2343, ""name"": ""magic""}, {""id"": 2630, ""name"": ""cutting the cord""}, {""id"": 3335, ""name"": ""halloween""}, {""id"": 3650, ""name"": ""child hero""}, {""id"": 3872, ""name"": ""broom""}, {""id"": 4238, ""name"": ""chosen one""}, {""id"": 4456, ""name"": ""frog""}, {""id"": 170362, ""name"": ""fantasy world""}, {""id"": 223438, ""name"": ""based on young adult novel""}]",en,Harry Potter and the Philosopher's Stone,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame.",109.984351,"[{""name"": ""1492 Pictures"", ""id"": 436}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Heyday Films"", ""id"": 7364}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",16-11-01,976475550,152.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Let the Magic Begin.,Harry Potter and the Philosopher's Stone,7.5,7006
0,"[{""id"": 99, ""name"": ""Documentary""}]",,8357,"[{""id"": 9820, ""name"": ""alternate dimension""}, {""id"": 10902, ""name"": ""new age""}, {""id"": 33465, ""name"": ""parallel world""}, {""id"": 161217, ""name"": ""pseudoscience""}, {""id"": 161218, ""name"": ""theology""}, {""id"": 161219, ""name"": ""consciousness""}, {""id"": 161220, ""name"": ""quantum mysticism""}, {""id"": 161221, ""name"": ""fantasy docudrama""}, {""id"": 187056, ""name"": ""woman director""}]",en,What the #$*! Do We (K)now!?,"Amanda (Marlee Maitlin) is a divorced woman who makes a living as a photographer. During the Fall of the year Amanda begins to see the world in new and different ways when she begins to question her role in life, her relationships with her career and men and what it all means. As the layers to her everyday experiences fall away insertions in the story with scientists, and philosophers and religious leaders impart information directly to an off-screen interviewer about academic issues, and Amanda begins to understand the basis to the quantum world beneath. During her epiphany as she considers the Great Questions raised by the host of inserted thinkers, Amanda slowly comprehends the various inspirations and begins to see the world in a new way.",7.288352000000001,"[{""name"": ""Lord of the Wind"", ""id"": 2453}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",23-04-04,10000000,109.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,Time to get wise.,What the #$*! Do We (K)now!?,5.8,34
0,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",,35944,[],en,Lucky Break,"Half-way through his 12-year prison sentence for an incompetent armed robbery, Jimmy Hands gets a lucky break: he's transferred to a prison from which he can probably escape. He convinces the governor to stage a musical in an old chapel next to the prison's outer wall. He rounds up volunteer actors and puts his escape plan into production. Two other barriers, besides the wall, confront him: the arrival of a nasty inmate, John Toombes, who insists on joining the escape, and Jimmy's feelings of attraction for Anabel, a social worker who agrees to appear in the play. Opening night approaches: is this Jimmy's breakout performance?",0.669169,[],"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",24-08-01,0,107.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,Lucky Break,6.5,11
95000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",,9342,"[{""id"": 387, ""name"": ""california""}, {""id"": 470, ""name"": ""spy""}, {""id"": 1701, ""name"": ""hero""}, {""id"": 2284, ""name"": ""horseback riding""}, {""id"": 9725, ""name"": ""sword fight""}, {""id"": 9748, ""name"": ""revenge""}]",en,The Mask of Zorro,"It has been twenty years since Don Diego de la Vega fought Spanish oppression in Alta California as the legendary romantic hero, Zorro. Having escaped from prison he transforms troubled bandit Alejandro into his successor, in order to foil the plans of the tyrannical Don Rafael Montero who robbed him of his freedom, his wife and his precious daughter.",31.086790999999998,"[{""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""TriStar Pictures"", ""id"": 559}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",16-07-98,250288523,136.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,No one has seen his face... but everyone ... knows this mark.,The Mask of Zorro,6.3,1183
88000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}]",,4442,"[{""id"": 380, ""name"": ""brother brother relationship""}, {""id"": 2132, ""name"": ""literature""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}]",en,The Brothers Grimm,"Folklore collectors and con artists, Jake and Will Grimm, travel from village to village pretending to protect townsfolk from enchanted creatures and performing exorcisms. However, they are put to the test  when they encounter a real magical curse in a haunted forest with real magical beings, requiring genuine courage.",40.138009000000004,"[{""name"": ""The Weinstein Company"", ""id"": 308}, {""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Atlas Entertainment"", ""id"": 507}, {""name"": ""Mosaic Media Group"", ""id"": 748}, {""name"": ""Reforma Films"", ""id"": 1649}, {""name"": ""Dimension Films"", ""id"": 7405}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]","[{""iso_3166_1"": ""CZ"", ""name"": ""Czech Republic""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",26-08-05,105316267,118.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}]",Released,Eliminating Evil Since 1812.,The Brothers Grimm,5.6,818
0,"[{""id"": 99, ""name"": ""Documentary""}]",,15800,"[{""id"": 1740, ""name"": ""pop culture""}, {""id"": 9818, ""name"": ""fan culture""}, {""id"": 10073, ""name"": ""documentary""}, {""id"": 10568, ""name"": ""science fiction""}, {""id"": 161176, ""name"": ""space opera""}, {""id"": 208663, ""name"": ""fan convention""}, {""id"": 220266, ""name"": ""fandom""}]",en,Trekkies,A hilarious look at the universe's most fervent fans.,2.77754,[],"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",18-10-97,0,86.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,,Trekkies,6.3,22
10500000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",,10306,"[{""id"": 520, ""name"": ""chicago""}, {""id"": 3684, ""name"": ""religion and supernatural""}, {""id"": 4769, ""name"": ""supernatural powers""}, {""id"": 14999, ""name"": ""devil""}, {""id"": 15001, ""name"": ""demon""}]",en,Poltergeist III,"Carol Anne has been sent to live with her Aunt and Uncle in an effort to hide her from the clutches of the ghostly Reverend Kane, but he tracks her down and terrorises her in her relatives' appartment in a tall glass building. Will he finally achieve his target and capture Carol Anne again, or will Tangina be able, yet again, to thwart him?",11.225044,"[{""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",10-06-88,14144000,98.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,He's found her.,Poltergeist III,4.5,123
0,"[{""id"": 35, ""name"": ""Comedy""}]",,27404,"[{""id"": 10183, ""name"": ""independent film""}]",en,My Big Fat Independent Movie,"This film is a spoof along the lines of ""Scary Movie"" and ""Not Another Teen Movie."" It includes parodies of some of the indie film world's most renowned movies such as ""Memento,"" ""Pulp Fiction,"" ""Magnolia,"" ""My Big Fat Greek Wedding,"" ""Amelie,"" ""Run Lola Run,"" ""El Mariachi,"" ""The Good Girl,"" ""Pi,"" ""Swingers"" and many others.",0.6882199999999999,"[{""name"": ""Film Threat DVD"", ""id"": 60481}, {""name"": ""Aloha Pictures"", ""id"": 73337}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",04-03-05,0,80.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The lowbrow comedy for the highbrow crowd.,My Big Fat Independent Movie,3.0,5
10000000,"[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",http://www.thefourthkind.net/,22824,"[{""id"": 1155, ""name"": ""brother sister relationship""}, {""id"": 2564, ""name"": ""wheelchair""}, {""id"": 3363, ""name"": ""hypnosis""}, {""id"": 5340, ""name"": ""investigation""}, {""id"": 9665, ""name"": ""cover-up""}, {""id"": 9738, ""name"": ""ufo""}, {""id"": 9880, ""name"": ""alaska""}, {""id"": 10941, ""name"": ""disappearance""}, {""id"": 11612, ""name"": ""hospital""}, {""id"": 12553, ""name"": ""alien abduction""}, {""id"": 14781, ""name"": ""patient""}, {""id"": 157154, ""name"": ""psychotherapy""}, {""id"": 160517, ""name"": ""fake documentary""}, {""id"": 172280, ""name"": ""based on supposedly true story""}, {""id"": 172712, ""name"": ""nome alaska""}, {""id"": 172715, ""name"": ""faked footage""}, {""id"": 172717, ""name"": ""audio cassette""}, {""id"": 172718, ""name"": ""ancient astronaut""}, {""id"": 172727, ""name"": ""anchorage alaska""}, {""id"": 172732, ""name"": ""police fake""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}]",en,The Fourth Kind,"Since the 1960s, a disproportionate number of the population in and around Nome, Alaska, have gone missing. Despite FBI investigations, the disappearances remain a mystery. Dr. Abigail Tyler, a psychologist, may be on the verge of blowing the unsolved cases wide open when, during the course of treating her patients, she finds evidence of alien abductions.",22.888173000000002,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Saga Film"", ""id"": 859}, {""name"": ""Focus Films"", ""id"": 1268}, {""name"": ""Gold Circle Films"", ""id"": 12026}, {""name"": ""Chambara Pictures"", ""id"": 12234}, {""name"": ""Dead Crow Productions"", ""id"": 26082}, {""name"": ""Fourth Kind Productions"", ""id"": 63903}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",06-11-09,42333295,98.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,There are four kinds of alien encounters. The fourth kind is abduction.,The Fourth Kind,5.8,441
0,"[{""id"": 27, ""name"": ""Horror""}]",http://www.miramax.com/movie/darkness,11056,"[{""id"": 1452, ""name"": ""loss of child""}, {""id"": 2642, ""name"": ""solar eclipse""}, {""id"": 3358, ""name"": ""haunted house""}, {""id"": 18035, ""name"": ""family""}, {""id"": 18130, ""name"": ""psychopathy""}]",en,Darkness,"A teenage girl moves into a remote countryside house with her family, only to discover that their gloomy new home has a horrifying past that threatens to destroy the family.",6.340135,"[{""name"": ""V\u00eda Digital"", ""id"": 357}, {""name"": ""Filmax Entertainment"", ""id"": 7302}, {""name"": ""Dimension Films"", ""id"": 7405}, {""name"": ""Castelao Producciones"", ""id"": 7956}]","[{""iso_3166_1"": ""ES"", ""name"": ""Spain""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",02-10-02,0,102.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,A house. A past. A secret. Will you dare enter?,Darkness,5.6,112
